holiday,workingday,temp,atemp,humidity,windspeed,hour,month,dayofweek,season_1,season_2,season_3,season_4,weather_1,weather_2,weather_3,weather_4,count
0,0,9.84,14.395,81,0.0,0,1,5,True,False,False,False,True,False,False,False,16
0,0,9.02,13.635,80,0.0,1,1,5,True,False,False,False,True,False,False,False,40
0,0,9.02,13.635,80,0.0,2,1,5,True,False,False,False,True,False,False,False,32
0,0,9.84,14.395,75,0.0,3,1,5,True,False,False,False,True,False,False,False,13
0,0,9.84,14.395,75,0.0,4,1,5,True,False,False,False,True,False,False,False,1
0,0,9.84,12.88,75,6.0032,5,1,5,True,False,False,False,False,True,False,False,1
0,0,9.02,13.635,80,0.0,6,1,5,True,False,False,False,True,False,False,False,2
0,0,8.2,12.88,86,0.0,7,1,5,True,False,False,False,True,False,False,False,3
0,0,9.84,14.395,75,0.0,8,1,5,True,False,False,False,True,False,False,False,8
0,0,13.12,17.425,76,0.0,9,1,5,True,False,False,False,True,False,False,False,14
0,0,15.58,19.695,76,16.9979,10,1,5,True,False,False,False,True,False,False,False,36
0,0,14.76,16.665,81,19.0012,11,1,5,True,False,False,False,True,False,False,False,56
0,0,17.22,21.21,77,19.0012,12,1,5,True,False,False,False,True,False,False,False,84
0,0,18.86,22.725,72,19.9995,13,1,5,True,False,False,False,False,True,False,False,94
0,0,18.86,22.725,72,19.0012,14,1,5,True,False,False,False,False,True,False,False,106
0,0,18.04,21.97,77,19.9995,15,1,5,True,False,False,False,False,True,False,False,110
0,0,17.22,21.21,82,19.9995,16,1,5,True,False,False,False,False,True,False,False,93
0,0,18.04,21.97,82,19.0012,17,1,5,True,False,False,False,False,True,False,False,67
0,0,17.22,21.21,88,16.9979,18,1,5,True,False,False,False,False,False,True,False,35
0,0,17.22,21.21,88,16.9979,19,1,5,True,False,False,False,False,False,True,False,37
0,0,16.4,20.455,87,16.9979,20,1,5,True,False,False,False,False,True,False,False,36
0,0,16.4,20.455,87,12.998,21,1,5,True,False,False,False,False,True,False,False,34
0,0,16.4,20.455,94,15.0013,22,1,5,True,False,False,False,False,True,False,False,28
0,0,18.86,22.725,88,19.9995,23,1,5,True,False,False,False,False,True,False,False,39
0,0,18.86,22.725,88,19.9995,0,1,6,True,False,False,False,False,True,False,False,17
0,0,18.04,21.97,94,16.9979,1,1,6,True,False,False,False,False,True,False,False,17
0,0,17.22,21.21,100,19.0012,2,1,6,True,False,False,False,False,True,False,False,9
0,0,18.86,22.725,94,12.998,3,1,6,True,False,False,False,False,True,False,False,6
0,0,18.86,22.725,94,12.998,4,1,6,True,False,False,False,False,True,False,False,3
0,0,17.22,21.21,77,19.9995,6,1,6,True,False,False,False,False,False,True,False,2
0,0,16.4,20.455,76,12.998,7,1,6,True,False,False,False,False,True,False,False,1
